"Country or Area","Element","Year","Unit","Value","Value Footnotes"
"Japan","Area","2021","1000 ha","36450.00",""
"Jordan","Area","2021","1000 ha","8879.40",""
"Kazakhstan","Area","2021","1000 ha","269970.00",""
"Kenya","Area","2021","1000 ha","56914.00",""
"Kiribati","Area","2021","1000 ha","81.00",""
"Kuwait","Area","2021","1000 ha","1782.00",""
"Kyrgyzstan","Area","2021","1000 ha","19180.00",""
"Land Locked Developing Countries","Area","2021","1000 ha","1670566.13",""
"Lao People's Democratic Republic","Area","2021","1000 ha","23080.00",""
"Latvia","Area","2021","1000 ha","6223.00",""
"Least Developed Countries","Area","2021","1000 ha","2039813.31",""
"Lebanon","Area","2021","1000 ha","1023.00",""
"Lesotho","Area","2021","1000 ha","3036.00",""
"Liberia","Area","2021","1000 ha","9632.00",""
"Libya","Area","2021","1000 ha","175954.00",""
"Liechtenstein","Area","2021","1000 ha","16.00",""
"Lithuania","Area","2021","1000 ha","6261.00",""
"Low Income Food Deficit Countries","Area","2021","1000 ha","2007868.61",""
"Luxembourg","Area","2021","1000 ha","257.45",""
"Madagascar","Area","2021","1000 ha","58180.00",""
"Malawi","Area","2021","1000 ha","9428.00",""
"Malaysia","Area","2021","1000 ha","32855.00",""
"Maldives","Area","2021","1000 ha","30.00",""
"Mali","Area","2021","1000 ha","122019.00",""
"Malta","Area","2021","1000 ha","32.00",""
"Marshall Islands","Area","2021","1000 ha","18.00",""
"Martinique","Area","2021","1000 ha","106.00",""
"Mauritania","Area","2021","1000 ha","103070.00",""
"Mauritius","Area","2021","1000 ha","199.70",""
"Mayotte","Area","2021","1000 ha","37.40",""
"Melanesia","Area","2021","1000 ha","52959.00",""
"Mexico","Area","2021","1000 ha","194395.00",""
"Micronesia","Area","2021","1000 ha","317.00",""
"Micronesia (Federated States of)","Area","2021","1000 ha","70.00",""
"Middle Africa","Area","2021","1000 ha","649682.00",""
"Monaco","Area","2021","1000 ha","0.21",""
"Mongolia","Area","2021","1000 ha","155750.70",""
"Montenegro","Area","2021","1000 ha","1345.00",""
"Montserrat","Area","2021","1000 ha","10.00",""
"Morocco","Area","2021","1000 ha","44630.00",""
"Mozambique","Area","2021","1000 ha","78638.00",""
"Myanmar","Area","2021","1000 ha","65267.00",""
"Namibia","Area","2021","1000 ha","82329.00",""
"Nauru","Area","2021","1000 ha","2.00",""
"Nepal","Area","2021","1000 ha","14335.00",""
"Net Food Importing Developing Countries","Area","2021","1000 ha","2949728.21",""
"Netherlands (Kingdom of the)","Area","2021","1000 ha","3367.00",""
"New Caledonia","Area","2021","1000 ha","1828.00",""
"New Zealand","Area","2021","1000 ha","26331.00",""
"Nicaragua","Area","2021","1000 ha","12034.00",""
"Niger","Area","2021","1000 ha","126670.00",""
"Nigeria","Area","2021","1000 ha","91077.00",""
"Niue","Area","2021","1000 ha","26.00",""
"Norfolk Island","Area","2021","1000 ha","4.00",""
"North Macedonia","Area","2021","1000 ha","2522.00",""
"Northern Africa","Area","2021","1000 ha","787239.10",""
"Northern America","Area","2021","1000 ha","1834685.40",""
"Northern Europe","Area","2021","1000 ha","169687.92",""
"Northern Mariana Islands","Area","2021","1000 ha","46.00",""
"Norway","Area","2021","1000 ha","36427.00",""
"Oceania","Area","2021","1000 ha","849602.80",""
"Oman","Area","2021","1000 ha","30950.00",""
"Pakistan","Area","2021","1000 ha","77088.00",""
"Palau","Area","2021","1000 ha","46.00",""
"Palestine","Area","2021","1000 ha","602.50",""
"Panama","Area","2021","1000 ha","7418.00",""
"Papua New Guinea","Area","2021","1000 ha","45286.00",""
"Paraguay","Area","2021","1000 ha","39730.00",""
"Peru","Area","2021","1000 ha","128000.00",""
"Philippines","Area","2021","1000 ha","29817.00",""
"Pitcairn","Area","2021","1000 ha","4.70",""
"Poland","Area","2021","1000 ha","30610.00",""
"Polynesia","Area","2021","1000 ha","789.80",""
"Portugal","Area","2021","1000 ha","9160.56",""
"Puerto Rico","Area","2021","1000 ha","887.00",""
"Qatar","Area","2021","1000 ha","1149.00",""
"Republic of Korea","Area","2021","1000 ha","9760.00",""
"Republic of Moldova","Area","2021","1000 ha","3297.00",""
"Réunion","Area","2021","1000 ha","251.00",""
"Romania","Area","2021","1000 ha","23008.00",""
"Russian Federation","Area","2021","1000 ha","1637687.00",""
"Rwanda","Area","2021","1000 ha","2467.00",""
"Saint Barthélemy","Area","2021","1000 ha","2.00",""
"Saint Helena, Ascension and Tristan da Cunha","Area","2021","1000 ha","39.00",""
"Saint Kitts and Nevis","Area","2021","1000 ha","26.00",""
"Saint Lucia","Area","2021","1000 ha","61.00",""
"Saint Martin (French part)","Area","2021","1000 ha","5.00",""
"Saint Pierre and Miquelon","Area","2021","1000 ha","23.00",""
"Saint Vincent and the Grenadines","Area","2021","1000 ha","39.00",""
"Samoa","Area","2021","1000 ha","278.00",""
"San Marino","Area","2021","1000 ha","6.00",""
"Sao Tome and Principe","Area","2021","1000 ha","96.00",""
"Saudi Arabia","Area","2021","1000 ha","214969.00",""
"Senegal","Area","2021","1000 ha","19253.00",""
"Serbia","Area","2021","1000 ha","8409.00",""
"Seychelles","Area","2021","1000 ha","46.00",""
"Sierra Leone","Area","2021","1000 ha","7218.00",""
"Singapore","Area","2021","1000 ha","71.80",""
"Sint Maarten (Dutch part)","Area","2021","1000 ha","3.40",""
"Slovakia","Area","2021","1000 ha","4808.00",""
"Slovenia","Area","2021","1000 ha","2013.64",""
"Small Island Developing States","Area","2021","1000 ha","119166.00",""
"Solomon Islands","Area","2021","1000 ha","2799.00",""
"Somalia","Area","2021","1000 ha","62734.00",""
"South Africa","Area","2021","1000 ha","121309.00",""
"South America","Area","2021","1000 ha","1746172.20",""
"South Sudan","Area","2021","1000 ha","63193.00",""
"South-eastern Asia","Area","2021","1000 ha","442444.25",""
"Southern Africa","Area","2021","1000 ha","265067.00",""
"Southern Asia","Area","2021","1000 ha","639262.00",""
"Southern Europe","Area","2021","1000 ha","129427.27",""
"Spain","Area","2021","1000 ha","49973.32",""
"Sri Lanka","Area","2021","1000 ha","6186.00",""
"Sudan","Area","2021","1000 ha","186800.00",""
"Suriname","Area","2021","1000 ha","15600.00",""
"Sweden","Area","2021","1000 ha","40728.35",""
"Switzerland","Area","2021","1000 ha","3950.96",""
"Syrian Arab Republic","Area","2021","1000 ha","18363.00",""
"Tajikistan","Area","2021","1000 ha","13879.00",""
"Thailand","Area","2021","1000 ha","51089.00",""
"Timor-Leste","Area","2021","1000 ha","1487.00",""
"Togo","Area","2021","1000 ha","5439.00",""
"Tokelau","Area","2021","1000 ha","1.00",""
"Tonga","Area","2021","1000 ha","72.00",""
"Trinidad and Tobago","Area","2021","1000 ha","513.00",""
"Tunisia","Area","2021","1000 ha","15536.00",""
"Türkiye","Area","2021","1000 ha","76963.00",""
"Turkmenistan","Area","2021","1000 ha","46993.00",""
"Turks and Caicos Islands","Area","2021","1000 ha","95.00",""
"Tuvalu","Area","2021","1000 ha","3.00",""
"Uganda","Area","2021","1000 ha","20052.00",""
"Ukraine","Area","2021","1000 ha","57940.00",""
"United Arab Emirates","Area","2021","1000 ha","7102.00",""
"United Kingdom of Great Britain and Northern Ireland","Area","2021","1000 ha","24193.00",""
"United Republic of Tanzania","Area","2021","1000 ha","88580.00",""
"United States of America","Area","2021","1000 ha","914742.00",""
"United States Virgin Islands","Area","2021","1000 ha","35.00",""
"Uruguay","Area","2021","1000 ha","17502.00",""
"Uzbekistan","Area","2021","1000 ha","44065.30",""
"Vanuatu","Area","2021","1000 ha","1219.00",""
"Venezuela (Bolivarian Republic of)","Area","2021","1000 ha","88205.00",""
"Viet Nam","Area","2021","1000 ha","31342.90",""
"Wallis and Futuna Islands","Area","2021","1000 ha","14.00",""
"Western Africa","Area","2021","1000 ha","606405.30",""
"Western Asia","Area","2021","1000 ha","479220.70",""
"Western Europe","Area","2021","1000 ha","108566.32",""
"Western Sahara","Area","2021","1000 ha","26600.00",""
"World","Area","2021","1000 ha","13014611.75",""
"Yemen","Area","2021","1000 ha","52797.00",""
"Zambia","Area","2021","1000 ha","74339.00",""
"Zimbabwe","Area","2021","1000 ha","38685.00",""

