Country or Area,Element,Year,Unit,Value,Value Footnotes
Madagascar,Area,2021,1000 ha,58180,
Malawi,Area,2021,1000 ha,9428,
Malaysia,Area,2021,1000 ha,32855,
Maldives,Area,2021,1000 ha,30,
Mali,Area,2021,1000 ha,122019,
Malta,Area,2021,1000 ha,32,
Marshall Islands,Area,2021,1000 ha,18,
Martinique,Area,2021,1000 ha,106,
Mauritania,Area,2021,1000 ha,103070,
Mauritius,Area,2021,1000 ha,199.7,
Mayotte,Area,2021,1000 ha,37.4,
Melanesia,Area,2021,1000 ha,52959,
Mexico,Area,2021,1000 ha,194395,
Micronesia,Area,2021,1000 ha,70,
Middle Africa,Area,2021,1000 ha,649682,
Monaco,Area,2021,1000 ha,0.21,
Mongolia,Area,2021,1000 ha,155750.7,
Montenegro,Area,2021,1000 ha,1345,
Montserrat,Area,2021,1000 ha,10,
Morocco,Area,2021,1000 ha,44630,
Mozambique,Area,2021,1000 ha,78638,
Myanmar,Area,2021,1000 ha,65267,
Namibia,Area,2021,1000 ha,82329,
Nauru,Area,2021,1000 ha,2,
Nepal,Area,2021,1000 ha,14335,
Net Food Importing Developing Countries,Area,2021,1000 ha,2949728.21,
Netherlands,Area,2021,1000 ha,3367,
New Caledonia,Area,2021,1000 ha,1828,
New Zealand,Area,2021,1000 ha,26331,
Nicaragua,Area,2021,1000 ha,12034,
Niger,Area,2021,1000 ha,126670,
Nigeria,Area,2021,1000 ha,91077,
Niue,Area,2021,1000 ha,26,
Norfolk Island,Area,2021,1000 ha,4,
North Macedonia,Area,2021,1000 ha,2522,
Northern Africa,Area,2021,1000 ha,787239.1,
Northern America,Area,2021,1000 ha,1834685.4,
Northern Europe,Area,2021,1000 ha,169687.92,
Northern Mariana Islands,Area,2021,1000 ha,46,
Norway,Area,2021,1000 ha,36427,
Oceania,Area,2021,1000 ha,849602.8,
Oman,Area,2021,1000 ha,30950,
Pakistan,Area,2021,1000 ha,77088,
Palau,Area,2021,1000 ha,46,
West Bank and Gaza,Area,2021,1000 ha,602.5,
Panama,Area,2021,1000 ha,7418,
Papua New Guinea,Area,2021,1000 ha,45286,
Paraguay,Area,2021,1000 ha,39730,
Peru,Area,2021,1000 ha,128000,
Philippines,Area,2021,1000 ha,29817,
Pitcairn,Area,2021,1000 ha,4.7,
Poland,Area,2021,1000 ha,30610,
Polynesia,Area,2021,1000 ha,789.8,
Portugal,Area,2021,1000 ha,9160.56,
Puerto Rico,Area,2021,1000 ha,887,
Qatar,Area,2021,1000 ha,1149,
"Korea, South",Area,2021,1000 ha,9760,
Moldova,Area,2021,1000 ha,3297,
Réunion,Area,2021,1000 ha,251,
Romania,Area,2021,1000 ha,23008,
Russia,Area,2021,1000 ha,1637687,
Rwanda,Area,2021,1000 ha,2467,
Saint Barthélemy,Area,2021,1000 ha,2,
"Saint Helena, Ascension and Tristan da Cunha",Area,2021,1000 ha,39,
Saint Kitts and Nevis,Area,2021,1000 ha,26,
Saint Lucia,Area,2021,1000 ha,61,
Saint Martin (French part),Area,2021,1000 ha,5,
Saint Pierre and Miquelon,Area,2021,1000 ha,23,
Saint Vincent and the Grenadines,Area,2021,1000 ha,39,
Samoa,Area,2021,1000 ha,278,
San Marino,Area,2021,1000 ha,6,
Sao Tome and Principe,Area,2021,1000 ha,96,
Saudi Arabia,Area,2021,1000 ha,214969,
Senegal,Area,2021,1000 ha,19253,
Serbia,Area,2021,1000 ha,8409,
Seychelles,Area,2021,1000 ha,46,
Sierra Leone,Area,2021,1000 ha,7218,
Singapore,Area,2021,1000 ha,71.8,
Sint Maarten (Dutch part),Area,2021,1000 ha,3.4,
Slovakia,Area,2021,1000 ha,4808,
Slovenia,Area,2021,1000 ha,2013.64,
Small Island Developing States,Area,2021,1000 ha,119166,
Solomon Islands,Area,2021,1000 ha,2799,
Somalia,Area,2021,1000 ha,62734,
South Africa,Area,2021,1000 ha,121309,
South America,Area,2021,1000 ha,1746172.2,
South Sudan,Area,2021,1000 ha,63193,
South-eastern Asia,Area,2021,1000 ha,442444.25,
Southern Africa,Area,2021,1000 ha,265067,
Southern Asia,Area,2021,1000 ha,639262,
Southern Europe,Area,2021,1000 ha,129427.27,
Spain,Area,2021,1000 ha,49973.32,
Sri Lanka,Area,2021,1000 ha,6186,
Sudan,Area,2021,1000 ha,186800,
Suriname,Area,2021,1000 ha,15600,
Sweden,Area,2021,1000 ha,40728.35,
Switzerland,Area,2021,1000 ha,3950.96,
Syrian Arab Republic,Area,2021,1000 ha,18363,
Tajikistan,Area,2021,1000 ha,13879,
Thailand,Area,2021,1000 ha,51089,
Timor-Leste,Area,2021,1000 ha,1487,
Togo,Area,2021,1000 ha,5439,
Tokelau,Area,2021,1000 ha,1,
Tonga,Area,2021,1000 ha,72,
Trinidad and Tobago,Area,2021,1000 ha,513,
Tunisia,Area,2021,1000 ha,15536,
Turkey,Area,2021,1000 ha,76963,
Turkmenistan,Area,2021,1000 ha,46993,
Turks and Caicos Islands,Area,2021,1000 ha,95,
Tuvalu,Area,2021,1000 ha,3,
Uganda,Area,2021,1000 ha,20052,
Ukraine,Area,2021,1000 ha,57940,
United Arab Emirates,Area,2021,1000 ha,7102,
United Kingdom,Area,2021,1000 ha,24193,
Tanzania,Area,2021,1000 ha,88580,
US,Area,2021,1000 ha,914742,
United States Virgin Islands,Area,2021,1000 ha,35,
Uruguay,Area,2021,1000 ha,17502,
Uzbekistan,Area,2021,1000 ha,44065.3,
Vanuatu,Area,2021,1000 ha,1219,
Venezuela,Area,2021,1000 ha,88205,
Vietnam,Area,2021,1000 ha,31342.9,
Wallis and Futuna Islands,Area,2021,1000 ha,14,
Western Africa,Area,2021,1000 ha,606405.3,
Western Asia,Area,2021,1000 ha,479220.7,
Western Europe,Area,2021,1000 ha,108566.32,
Western Sahara,Area,2021,1000 ha,26600,
World,Area,2021,1000 ha,13014611.75,
Yemen,Area,2021,1000 ha,52797,
Zambia,Area,2021,1000 ha,74339,
Zimbabwe,Area,2021,1000 ha,38685,
